monday_field_name,monday_column_id,monday_field_type,normalized_field_path,spreadsheet_tab,spreadsheet_cell_or_range,estimate_section,mapping_type,transformation_logic,required_for_automation,manual_review_if_missing,notes
Name,name,text,project.name,--,--,Header,direct,None - pass through,yes,no,Used as estimate title
Sales Rep,multiple_person_mkrdtaay,people,project.salesRep,--,--,Header,transform,"Extract person name from Monday people object",yes,no,Monday API returns user ID; resolve to display name
Site Address,location_mkq17q59,location,site.address,--,--,Header,transform,"Parse Monday location object into {street,city,state,zip,lat,lng}",yes,yes,"Address determines tax rate, permit jurisdiction, labor rates"
"New Construction?",color_mkq1fm6a,status,project.isNewConstruction,--,--,Header,transform,"Map status label to enum: Yes->yes, No->no, Other->other",yes,no,Affects assumptions about existing infrastructure
Project Timeline,text_mkq1b6sk,text,project.timeline,--,--,Header,direct,None - pass through (free text),no,no,Informational only; does not affect pricing
Project Type,color_mkq1t9d,status,project.projectType,--,--,Scope,transform,"Map status label to snake_case enum. 'Full Turnkey'->'full_turnkey', 'Remove & Replace'->'remove_replace', etc.",yes,yes,"Primary scope classifier. Determines which estimate sections are included."
Site Type,single_select6785b7b,status,site.siteType,--,--,Site,transform,"Map status label to snake_case enum. 'Fleet/Dealer'->'fleet_dealer', 'Police/Gov'->'police_gov', etc.",yes,yes,"0% fill rate observed. ALWAYS triggers manual review when missing."
New Charger Brand,dropdown_mkqswef4,dropdown,charger.new.brand,Tesla Supercharger Pricing,--,Hardware,transform,"Map dropdown to snake_case enum. 'Tesla Supercharger'->'tesla_supercharger', etc.",yes,yes,Determines which catalog to look up
Specific Charger Model,multi_selectwzq4zbsy,dropdown_multi,charger.new.models,--,--,Hardware,direct,"Array of selected model strings",yes,yes,"Maps to catalog for pricing. 'Other' triggers manual review."
Number of Chargers,numeric_mkq1f1kg,numbers,charger.new.count,--,--,Hardware,direct,Integer pass-through,yes,yes,Core quantity for estimate line items
Number of Pedestals,numeric_mkqe2fj6,numbers,charger.new.pedestalCount,--,--,Hardware,direct,Integer pass-through,no,no,May differ from charger count for dual-port units
Port type,color_mkq1bf8b,status,charger.new.portType,--,--,Hardware,transform,"Map status label to lowercase enum",yes,no,Affects charger count vs pedestal count calculation
Mounting type,color_mkq17yas,status,charger.new.mountingType,--,--,Hardware + Civil,transform,"Map status label to lowercase enum",yes,yes,"Determines pedestal/pad vs wall mount scope"
Make Ready,dropdown_mkq1ce91,dropdown,responsibilities.makeReady,--,--,Scope,transform,"Map to lowercase enum",yes,yes,"'Bullet' includes electrical make-ready in estimate; 'Client' excludes it"
Permits,dropdown_mkq1ws3,dropdown,responsibilities.permits,--,--,Scope,transform,"Map to lowercase enum",yes,yes,"'Bullet' includes permit line items; 'Client' excludes them"
Design & Engineering,dropdown_mkq1nyx6,dropdown,responsibilities.designEngineering,--,--,Scope,transform,"Map to lowercase enum",yes,yes,"'Bullet' includes D&E line items; 'Client' excludes them"
Purchasing Chargers,dropdown_mkq1yysm,dropdown,responsibilities.purchasingChargers,--,--,Scope,transform,"Map to lowercase enum",yes,yes,"'Bullet' includes hardware in estimate; 'Client' shows as 'by others'"
Charger Install,dropdown_mkq12g4b,dropdown,responsibilities.chargerInstall,--,--,Scope,transform,"Map to lowercase enum",yes,yes,"'Bullet' includes install labor; 'Client' excludes it"
